Population,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Botswana,,,,,,,,,,,,,,,,,,3980,3600,4360,8890,4500,4500,2480,3150,2840,4810,31080,23700,23740,1290,1300,4660,4970,5680,5560,5300,3025,1261,1249,1404,1097,590,503,276,232,283,2137,2677,3624,4303,4803,3921,3935,3748,3195,3003,3214,3281,3346,3648,3535,3454,2916,2317,2842,2474
Brazil,,,,,,,,,,,,,,,,,,,40000,40000,38000,37000,35200,34000,32000,30000,36000,35000,25000,24000,24000,5400,5400,5400,5350,5300,5280,5332,5331,5335,5389,5489,6226,2340,2119,2218,2263,2348,2378,3265,3533,3743,3773,3795,7746,20906,21210,4382,4515,5237,9153,11711,22165,47946,35790,68087,148597
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,2,2,3,0,,,0
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20992,20992,21009,20524,20524,20524,20524,20524
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,450,1063,1323,1562,398,240,568,2793,4553,4803,4834,5605,5218,5365,5848,6208,6589,6942,7072,3558,8880,17895,26134,33923,21918
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,100,90,220,270,260,360,350,380,5670,6604,50000,34181,29777,19504,2231,676,1013,711,834,980,1016,1302,1273,1153,1168,1070,1074,1213,40033,33791,39842,35834,36154,26548
Burundi,,,,,,,,,,,30000,30000,34000,78000,81500,94700,79000,77200,72200,46000,39950,43390,49100,48730,49550,49580,50000,83220,52610,234560,234750,253330,256010,274750,269990,267750,267500,267500,267455,268403,270136,271955,272050,728301,430681,1031860,611678,140838,92027,90323,97927,149765,54119,71905,53569,35265,32406,126503,131361,200765,126314,128765,132606,136846,84427,203951,195513
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,,,,,,456,73,,,,,1,,,,,,,,,115,115,115,115
Cambodia,,,,,,,,,,,,,,10000,15000,17000,20000,22000,22000,20000,,,,,,,,,,,,,,,,,,,,,,,5,124110,49715,29425,37913,22,22,201,1101,281,154,711,402,349,481,540,285,180,134,103,84,104,301,246,105
Cameroon,,,,,,,,,,,,,,,,,,,,8000,,,,,30000,30000,30000,30000,20240,128000,266020,172710,4250,18690,35150,54530,59560,53980,51360,52306,50737,45663,44615,44345,45792,47146,47732,48039,49245,47600,46859,63596,64416,65397,66252,39287,62436,87699,102326,106724,106274,104192,123492,275925,470903,601994,598552
Canada,168511,154828,107004,75828,52551,17485,46334,46908,47934,48629,44492,12282,10946,10178,9980,10225,9991,17950,19275,18518,17196,20933,13358,11410,16349,27387,29537,31295,57913,92679,96415,107591,120947,112966,92194,98743,104843,116434,135752,154761,170916,183723,183316,186601,152125,138435,125184,119374,125103,157604,175224,183206,174791,168717,167735,175443,213258,227872,230611,216581,207353,196947,182792,165914,155554,121267,160419
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,3,11,53,16,42,50
Central African Rep.,,,,,,,,,,,,,,3300,20560,43000,38700,34000,24900,27220,30000,58290,23000,5000,5000,,,,1000,7000,8030,8310,6790,42210,73200,28200,11300,4438,3163,5614,13123,20000,44523,47899,44088,37793,42169,43903,51679,57799,53528,57382,48614,29802,28696,174109,219387,205900,225281,215324,202570,104533,911706,1064786,483143,424212,866937
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,109,103,100,302,8817,23480,18257,18579,34613,146659,259893,275480,408002,473044,556945,530828,533049,535023,518499,471516,517802,523658,604133,612181
Chile,,,,,,,,,,,,,,,,,,,6500,6000,7000,7000,9500,3700,3300,4000,5200,3080,2000,1500,1500,2500,2500,2500,540,,,300,300,58,72,142,239,217,283,363,276,305,337,443,459,449,515,656,913,1479,1894,2503,2037,1895,2038,2048,2164,2346,2913,4960,96993
China,,,,,,,,,,,,,,,,1070,,,,,,,,,,,,,250000,263000,265000,272100,276630,279750,279670,281790,280600,284300,284300,287276,290314,289834,287707,287474,288376,290857,292060,292527,293299,294123,295328,297284,299397,299426,301126,301129,301170,301003,301037,301108,301049,301302,301427,301519,301730,317923,322416
"China, Hong Kong SAR",30000,,,22000,,,,,,,,,,1120000,1251200,1250040,,,,1000,1000,50,,,,,,63410,56460,30520,13540,12620,12770,11960,9400,8000,9530,15359,12896,13623,12080,14938,14149,7639,3154,15970,6341,1097,1053,1082,1897,1722,2099,2539,3031,4347,2021,1217,877,643,751,954,2000,2420,2450,110,83
"China, Macao SAR",,,,,,,,,,,,,,80000,80000,73770,74000,70000,65000,66000,70000,80000,,,,,,850,3490,2920,2720,970,800,730,700,600,500,440,422,205,116,15,11,9,8,,,,,,,,,,,,,,12,10,11,6,6,6,7,5,0
Colombia,,,,,,,,,,,,,,,,,,,,1500,1400,1350,1450,1200,,,1800,1500,2000,2000,1800,150,210,330,400,240,680,720,700,570,510,478,310,333,224,220,223,226,233,525516,720238,950218,1244391,2000177,2000205,3000235,3000273,3000263,3304302,3672444,3888660,3943817,5368445,6044546,6939420,7411471,7747330
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,350,,,,,,,9,12,13,3,,,1,1,,,,,,,,,,,
Congo,,,,,,,,,,,,,,,,,,,500,500,,,,10000,5000,,,1000,,,80,,1000,1000,1200,1580,2120,2210,3491,3040,3595,3565,13757,15522,19433,20451,22452,28221,40719,125480,123979,112002,102517,72930,77640,75207,65019,41634,116459,138695,145395,149349,117680,69369,52427,71609,167289
Costa Rica,,,,,,,,,,,,,,,,,,,,,,700,,200,,,3500,133000,53610,25060,15000,16600,16910,17210,24000,31200,31860,279560,279910,283020,123132,116632,25189,24649,24230,24307,23114,23042,22928,6616,10699,12522,13585,10636,11476,16902,17701,18601,19703,19920,20517,21087,21186,23718,8705,7953,11962
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403000,631000,490600,396847,332403,153505,130050,107184,75501,59524,36349,23907,16736,10867,7740,5761,32833,27664,25480,23944,23998,19875,19593,17538,18252,11817
Cuba,,,,,,,,,,,,,,,,,,,,,,,,1300,,,2600,4000,3060,3150,2000,2000,2000,2000,2000,2120,2000,2000,3990,3988,,8152,5413,2744,1965,1755,1281,1080,972,967,1052,1008,842,800,738,696,631,536,459,423,386,374,386,291,328,343,364
CuraÁao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,40,61,78,78,111,803
CÙte d'Ivoire,,,,,,,,,,,,,,,,,,,12000,,300,,,,300000,500070,,,,,,,450,650,810,880,860,800,480,272281,230290,174076,260944,363143,298310,327827,209089,251746,170062,151217,130684,168004,136385,129064,115120,753970,741425,734172,711209,564542,620481,863432,748768,726652,1011420,695806,702386
Cyprus,,,,,,,,,,,,,,,,,,200,200,200,200,200,,,,,700,,,,,7240,,,,,,400,,273,110,80,265082,265070,265056,265072,265049,265084,135,582,1943,2216,5431,10559,13769,13432,13087,9479,7903,8790,6562,6267,6534,7603,15319,17572,21033
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691,9399,196,1186,2655,2555,5231,5548,4403,6310,12827,9122,5270,2744,2726,4765,4223,3560,3590,3515,3358,4882,4798,5119,5807,5921,5917
Dem. People's Rep. of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
Dem. Rep. of the Congo,,,,,,,,,,150000,203000,223000,237000,236000,266300,357100,434100,475400,496550,493000,484250,510250,496060,503250,510000,515000,530300,713330,780480,841110,616740,621400,306610,353520,342140,304000,336050,342485,346569,423435,518169,505967,582679,2179382,1536358,1558590,541130,291891,393521,371910,393903,392031,338636,245990,251916,1821497,2515749,1636222,2332901,2363859,2699723,3139243,3753776,3610762,2701323,3327664,5144920
Denmark,2000,1800,1600,1400,1300,2500,2500,2500,2400,2300,2200,2200,2200,,,,,,,2000,4400,3687,3687,2900,2125,2100,1764,1800,1800,1800,1800,1800,3600,8500,8500,23000,30000,27310,30747,32906,36110,39118,44564,49558,64844,67105,68443,69202,70337,78345,79250,79124,72373,66294,45457,38104,28189,27666,25177,24523,18712,17706,19383,26840,36863,47456,47888
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,20000,28800,45310,50900,34200,34310,31030,17280,17150,16730,6502,31869,77606,98974,31180,34314,43532,51246,29282,23813,24858,23599,26503,23810,24285,28941,26483,18143,10522,8993,9661,13032,15843,22248,22234,23856,24362,22006,25930,26993
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,,,,1000,1000,1100,,1000,,,500,300,3300,3800,5000,5000,5000,5130,6000,6000,7070,5356,3810,2116,1971,2030,1340,1972,1529,1000,638,614,625,535,,,,,,,,,,2358,2380,1525,211549,211354,135143,1388,1438
Ecuador,,,,,,,,,,,,,,,,,,,,,,200,,200,,,200,,600,700,640,680,770,930,1030,870,710,805,757,670,540,354,401,310,212,216,227,249,1521,1789,4307,5893,8950,10113,262553,267310,292324,135317,167189,171136,145012,138397,134793,133749,133128,127436,145274
